Chr01:20220479-20226982	LTR	Copia	Bianca	yes	+	GAG|Bianca PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
Chr01:20508275-20513803	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
Chr01:20630016-20635689	LTR	Copia	Bianca	no	-	GAG|Bianca
Chr01:20739405-20750346	LTR	Gypsy	Retand	yes	-	GAG|Retand PROT|Retand RT|Retand RH|Retand INT|Retand
Chr01:20858812-20864025	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Chr01:21119389-21125711	LTR	Copia	Bianca	yes	-	GAG|Bianca PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
Chr01:21138153-21144108	LTR	Copia	Bianca	no	+	GAG|Bianca
Chr01:21148268-21155131	LTR	Gypsy	Athila	no	-	GAG|Athila PROT|Athila
Chr01:21534534-21541805	LTR	Copia	TAR	yes	+	GAG|TAR PROT|TAR INT|TAR RT|TAR RH|TAR
Chr01:21772237-21778074	LTR	Copia	Bianca	yes	+	GAG|Bianca PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
Chr01:21845702-21848656	LTR	Copia	Ivana	no	+	INT|Ivana RT|Ivana RH|Ivana
Chr01:21915686-21929085	LTR	Gypsy	Retand	yes	-	GAG|Retand PROT|Retand RT|Retand RH|Retand INT|Retand
Chr01:21929993-21935874	LTR	Copia	Bianca	yes	+	GAG|Bianca PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
Chr01:21983705-21993825	LTR	Gypsy	Athila	yes	+	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
Chr01:22036569-22041879	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Chr01:22156801-22161538	LTR	Copia	Ivana	yes	-	GAG|Ivana PROT|Ivana INT|Ivana RT|Ivana RH|Ivana
Chr01:22202432-22208553	LTR	Copia	Angela	yes	-	GAG|Angela PROT|Angela INT|Angela RT|Angela RH|Angela
